"Work Item Type","ID","Title","Assigned To","State","Area Path","Iteration Path","Tags","History"
"User Story","762","Add candidate integration pipeline","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Integration","Interview-Coach-Candidate\Candidate Discovery","azure-devops; candidate",""
"User Story","761","Add branch policy after reviewers are available","Himanshu Sagar <himanshusagar@rangam.com>","New","Interview-Coach-Candidate\Integration","Interview-Coach-Candidate\Candidate Discovery","azure-devops; candidate",""
"User Story","760","Import canonical backlog hierarchy into Fu-Lab Boards","Fu Chen <fu@rangam.com>","Active","Interview-Coach-Candidate\Integration","Interview-Coach-Candidate\Candidate Discovery","azure-devops; candidate",""
"User Story","759","Validate CSV import pattern for linked work items","Fu Chen <fu@rangam.com>","Active","Interview-Coach-Candidate\Integration","Interview-Coach-Candidate\Candidate Discovery","azure-devops; candidate",""
"Feature","758","Azure Boards import and traceability pattern","Fu Chen <fu@rangam.com>","Active","Interview-Coach-Candidate\Integration","Interview-Coach-Candidate\Candidate Discovery","azure-devops; candidate",""
"User Story","757","Implement callback/session resolution boundary","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Integration","Interview-Coach-Candidate\Candidate Auth Handoff","auth-handoff; candidate",""
"User Story","756","Implement login-start route after contract is known","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Integration","Interview-Coach-Candidate\Candidate Auth Handoff","auth-handoff; candidate",""
"Feature","755","TalentArbor login return and identity handoff","Himanshu Sagar <himanshusagar@rangam.com>","Active","Interview-Coach-Candidate\Integration","Interview-Coach-Candidate\Candidate Auth Handoff","auth-handoff; blocked; candidate",""
"User Story","754","Add shared-host route collision tests","Fu Chen <fu@rangam.com>","Resolved","Interview-Coach-Candidate\Shared Platform","Interview-Coach-Candidate\Candidate MVP Shell","candidate; shared-host-routing","Resolved after adding shared-host route collision coverage for candidate public CTAs, TalentArbor login-start intent, recruiter/admin/QA middleware protection, invite-token/public route pass-through, and shared route file ownership. Focused Vitest, lint, and typecheck passed."
"User Story","753","Add /recruiter create-page alias","Fu Chen <fu@rangam.com>","Resolved","Interview-Coach-Candidate\Shared Platform","Interview-Coach-Candidate\Candidate MVP Shell","candidate; shared-host-routing",""
"User Story","752","Port public candidate landing page into shared Azure branch","Fu Chen <fu@rangam.com>","Resolved","Interview-Coach-Candidate\Shared Platform","Interview-Coach-Candidate\Candidate MVP Shell","candidate; shared-host-routing",""
"Feature","751","Shared host route ownership","Fu Chen <fu@rangam.com>","Active","Interview-Coach-Candidate\Shared Platform","Interview-Coach-Candidate\Candidate MVP Shell","candidate; shared-host-routing",""
"User Story","750","Create candidate integration branch in company Azure repo","Fu Chen <fu@rangam.com>","Active","Interview-Coach-Candidate\Integration","Interview-Coach-Candidate\Candidate Discovery","azure-devops; candidate",""
"Epic","749","Azure DevOps Collaboration And Delivery","Fu Chen <fu@rangam.com>","Active","Interview-Coach-Candidate\Integration","Interview-Coach-Candidate\Candidate Discovery","azure-devops; candidate",""
"User Story","748","Review resume data privacy","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","Interview-Coach-Candidate\Candidate Dashboard MVP","candidate; quality; security",""
"User Story","747","Review login redirect security","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","Interview-Coach-Candidate\Candidate Dashboard MVP","candidate; quality; security",""
"Feature","746","Security and privacy review","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","Interview-Coach-Candidate\Candidate Dashboard MVP","candidate; quality; security",""
"User Story","745","Add incident runbook","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","Interview-Coach-Candidate\Candidate Dashboard MVP","candidate; quality; security",""
"User Story","744","Add observability plan to deployment","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","Interview-Coach-Candidate\Candidate Dashboard MVP","candidate; quality; security",""
"Feature","743","Observability and incident readiness","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","Interview-Coach-Candidate\Candidate Dashboard MVP","candidate; quality; security",""
"User Story","742","Add recruiter regression checklist for candidate PRs","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Shared Platform","Interview-Coach-Candidate\Candidate Dashboard MVP","candidate; quality; security",""
"User Story","741","Add accessibility checks for primary pages","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","Interview-Coach-Candidate\Candidate Dashboard MVP","accessibility; candidate; quality; security",""
"User Story","740","Add primary route smoke tests","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","Interview-Coach-Candidate\Candidate Dashboard MVP","candidate; quality; security",""
"Feature","739","Smoke and regression testing","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","Interview-Coach-Candidate\Candidate Dashboard MVP","candidate; quality; security",""
"Epic","738","Quality, Security, Observability, And Release Readiness","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","Interview-Coach-Candidate\Candidate Dashboard MVP","candidate; quality; security",""
"User Story","737","Surface next best practice recommendation","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","Interview-Coach-Candidate\Candidate Dashboard MVP","candidate; dashboard",""
"Feature","736","Progress and coaching themes","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","Interview-Coach-Candidate\Candidate Dashboard MVP","candidate; dashboard",""
"User Story","735","Add dashboard tests","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","Interview-Coach-Candidate\Candidate Dashboard MVP","candidate; dashboard",""
"User Story","734","Add resume/review/repeat actions","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","Interview-Coach-Candidate\Candidate Dashboard MVP","candidate; dashboard",""
"User Story","733","Replace mock dashboard data","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","Interview-Coach-Candidate\Candidate Dashboard MVP","candidate; dashboard",""
"User Story","732","Define dashboard query contract","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","Interview-Coach-Candidate\Candidate Dashboard MVP","candidate; dashboard",""
"Feature","731","Dashboard MVP read model","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","Interview-Coach-Candidate\Candidate Dashboard MVP","candidate; dashboard",""
"Epic","730","Candidate Dashboard And History","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","Interview-Coach-Candidate\Candidate Dashboard MVP","candidate; dashboard",""
"User Story","729","Add structured intake fields","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","Interview-Coach-Candidate\Candidate Practice MVP","candidate; resume-data",""
"Feature","728","Candidate intake profile","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","Interview-Coach-Candidate\Candidate Practice MVP","candidate; resume-data",""
"User Story","727","Add photo/OCR capture path","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","Interview-Coach-Candidate\Candidate Practice MVP","candidate; resume-data",""
"Feature","726","Resume photo/OCR capture","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","Interview-Coach-Candidate\Candidate Practice MVP","candidate; resume-data",""
"Task","725","Delete original file after successful extraction by default","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","Interview-Coach-Candidate\Candidate Practice MVP","candidate; resume-data",""
"User Story","724","Add PDF/DOCX extraction path","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","Interview-Coach-Candidate\Candidate Practice MVP","candidate; resume-data",""
"User Story","723","Add private file upload boundary","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","Interview-Coach-Candidate\Candidate Practice MVP","candidate; resume-data",""
"Feature","722","Resume upload extraction boundary","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","Interview-Coach-Candidate\Candidate Practice MVP","candidate; resume-data",""
"User Story","721","Store processed resume artifact only","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","Interview-Coach-Candidate\Candidate Practice MVP","candidate; resume-data",""
"User Story","720","Add resume normalization helper","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","Interview-Coach-Candidate\Candidate Practice MVP","candidate; resume-data",""
"Feature","719","Resume text normalization","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","Interview-Coach-Candidate\Candidate Practice MVP","candidate; resume-data",""
"Epic","718","Resume Ingestion And Candidate Context","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","Interview-Coach-Candidate\Candidate Practice MVP","candidate; resume-data",""
"User Story","717","Implement candidate summary route","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","Interview-Coach-Candidate\Candidate Practice MVP","candidate; session-engine",""
"Feature","716","Candidate feedback and summary","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","Interview-Coach-Candidate\Candidate Practice MVP","candidate; session-engine",""
"User Story","715","Add session mutation tests","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","Interview-Coach-Candidate\Candidate Practice MVP","candidate; session-engine",""
"User Story","714","Persist session progress and resume target","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","Interview-Coach-Candidate\Candidate Practice MVP","candidate; session-engine",""
"User Story","713","Render real session state in /session/[sessionId]","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","Interview-Coach-Candidate\Candidate Practice MVP","candidate; session-engine",""
"User Story","712","Add candidate session creation service","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","Interview-Coach-Candidate\Candidate Practice MVP","candidate; session-engine",""
"Feature","711","Candidate session lifecycle","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","Interview-Coach-Candidate\Candidate Practice MVP","candidate; session-engine",""
"Task","710","Mark recruiter-only session assumptions","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","Interview-Coach-Candidate\Candidate Practice MVP","candidate; session-engine",""
"User Story","709","Identify candidate-safe session engine files","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","Interview-Coach-Candidate\Candidate Practice MVP","candidate; session-engine",""
"Feature","708","Session engine port plan","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","Interview-Coach-Candidate\Candidate Practice MVP","candidate; session-engine",""
"Epic","707","Candidate Session Engine Integration","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","Interview-Coach-Candidate\Candidate Practice MVP","candidate; session-engine",""
"User Story","706","Model draft naming and selection","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","Interview-Coach-Candidate\Candidate Practice MVP","candidate; practice-setup",""
"Feature","705","Multiple draft management","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","Interview-Coach-Candidate\Candidate Practice MVP","candidate; practice-setup",""
"User Story","704","Submit draft into generation state","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","Interview-Coach-Candidate\Candidate Practice MVP","candidate; practice-setup",""
"User Story","703","Restore draft after refresh","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","Interview-Coach-Candidate\Candidate Practice MVP","candidate; practice-setup",""
"User Story","702","Persist pasted resume text as normalized context","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","Interview-Coach-Candidate\Candidate Practice MVP","candidate; practice-setup",""
"User Story","701","Add draft service/repository","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","Interview-Coach-Candidate\Candidate Practice MVP","candidate; practice-setup",""
"Feature","700","Server-backed draft lifecycle","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","Interview-Coach-Candidate\Candidate Practice MVP","candidate; practice-setup",""
